RunNr	FileName	Condition	Replicate	Precursors	ModifiedSequences	Peptides	ProteinGroups	Proteins
1	ZHW_20260422_D1.raw	D	1	118798	97161	90116	7083	7177
2	ZHW_20260422_D2.raw	D	2	105768	87469	81281	7025	7120
3	ZHW_20260422_D3.raw	D	3	114438	93516	86802	7032	7126
4	ZHW_20260422_Q1.raw	Q	1	48732	43456	41177	5863	5929
5	ZHW_20260422_Q2.raw	Q	2	88571	73586	69101	6659	6741
6	ZHW_20260422_Q3.raw	Q	3	63963	53706	50472	6010	6094
7	ZHW_20260422_S1.raw	S	1	131967	107428	99809	7305	7399
8	ZHW_20260422_S2.raw	S	2	127146	103185	96396	7279	7371
9	ZHW_20260422_S3.raw	S	3	138771	112393	104377	7350	7439
10	ZHW_20260422_P1.raw	P	1	74251	64752	60714	6442	6530
11	ZHW_20260422_P2.raw	P	2	107919	91099	84851	7076	7171
12	ZHW_20260422_P3.raw	P	3	71844	62900	59038	6645	6729
13	ZHW_20260422_W1.raw	W	1	70339	61559	58301	6562	6649
14	ZHW_20260422_W2.raw	W	2	95443	81060	76215	6815	6910
15	ZHW_20260422_W3.raw	W	3	71985	62834	59403	6502	6587
16	ZHW_20260422_N1.raw	N	1	32783	30489	28969	5087	5158
17	ZHW_20260422_N2.raw	N	2	50848	45457	43195	5910	5992
18	ZHW_20260422_N3.raw	N	3	16443	15660	15007	3618	3674
